neurotransmitter,Zdhhc1,Zdhhc2,Zdhhc3,Zdhhc4,Zdhhc5,Zdhhc6,Zdhhc7,Zdhhc8,Zdhhc9,Zdhhc11,Zdhhc12,Zdhhc13,Zdhhc14,Zdhhc15,Zdhhc16,Zdhhc17,Zdhhc18,Zdhhc19,Zdhhc20,Zdhhc21,Zdhhc22,Zdhhc23,Zdhhc24,Zdhhc25,Abhd4,Abhd6,Abhd10,Abhd11,Abhd12,Abhd13,Abhd16a,Abhd17a,Abhd17b,Abhd17c,Golga7,Golga7b,Lypla1,Lypla2,Ppt1,Selenok
,1.5283377008578944,1.3998506857667374,1.6278926299409677,1.0059802161619629,1.3873976552671787,1.5323612884186995,0.9687227444213862,1.6122338018750162,2.666953507182361,0.004476701672640863,0.4498241947807756,0.8336879105774191,4.88035030697819,0.44720315664349053,0.6052652838222795,3.787564681854087,1.3942426851553167,0.05817873399839977,5.273514291714408,2.422191342177807,0.21393872052299764,0.31192843718477226,0.906631643530903,1.3059824057171187e-05,2.954160747570876,2.2822710384926372,1.099625614767362,0.6513346290800978,4.433233782674652,0.8810407151436904,1.7118732767054397,3.0487008983192063,5.415431282790053,1.2208140673769712,4.301968068734665,0.23046620283089775,1.8933807513898222,1.125874694099459,3.5106343543587126,6.311401074098787
Chol,3.066666200839571,5.006726146876356,3.6664284879316664,1.4328756236174716,3.1810432849852335,3.0742411389573525,1.4772410526403932,3.7910132712532993,2.140341350787612,0.01617851008277114,0.2796851661330444,2.345308805606322,6.2753503603093765,1.2842344397197956,1.2397753460304746,5.001486028036321,5.4312452246412635,0.22393226371972424,5.071217804054445,5.011925142347828,2.024402588535129,0.6376737685733092,1.6653445225156915,0.0,1.2413996443903186,3.275173594693149,2.3326989385264745,2.047196187969249,4.991509227631935,2.0541093130911663,2.5986572317887155,4.199227373413221,4.3688257239293184,1.254858219412882,3.9900271890346435,5.262143165415555,3.5024179396607953,3.2364343661363884,4.8167088594954865,6.217535727824677
Dopa,3.443048279581805,5.57911270991342,3.2839744911390754,1.2909871638201815,2.8030236692771653,2.929322033651132,1.6749819584885473,3.5748520393278205,1.901207928405817,0.018843567919457096,0.256422299712503,1.9912896263898814,4.95130613417055,1.5751566476850318,1.1239468160716968,5.649635582642131,2.5629751803317746,0.1865042733760426,6.29272336397033,5.122216650758616,2.269842718879737,1.1494053442613172,1.496215409550478,0.0,0.9245811091579748,3.583244053213177,2.4182474117626174,1.8211732189824805,5.427257626424094,1.790485377969413,2.8038635378748675,3.672660067011418,4.358448068300883,1.617745342433275,3.4507688836830126,3.848391275702258,3.0460179286492335,3.2043389455974736,4.722132067824486,6.116409243802509
GABA,2.7377085547098283,4.8630000642667985,3.148610897660889,0.9945134852980101,2.233886746017271,2.465627953151423,1.3294795218322832,2.6285379203848738,1.6531937866960782,0.006396636931055812,0.1495843638854161,1.755879446123481,4.516250355005456,0.8946723112999853,0.9915738848378636,5.222663776262765,2.019155329649186,0.06172739423910875,5.201022427453095,4.795847421682563,1.7923132992011193,0.8665949618157297,1.1218911239884242,8.58662492534874e-05,0.6047678172950932,3.6890285489280363,1.625949350627222,1.2894060607845486,5.540294844297255,1.725839678272404,2.016860767480602,3.6371883013731106,4.091695848857855,1.7172532578660153,3.288447890757274,3.0102713986379626,2.3133944415313232,2.369774349277998,4.559508186680612,5.895776895992933
GABA-Glyc,3.3975684874480505,4.950169556962199,4.297131972085551,1.1557837398060709,3.512995903588021,3.4104433176778186,1.6367623065196837,3.332186068982809,2.146865686157626,0.014802058365744216,0.11734023850138595,2.244704296556882,5.1366405973371725,1.121816110571759,1.0821022227745443,6.240788700594318,2.7214131707588463,0.07314988079055364,6.4681578168806295,5.8897578181878085,2.684232590825109,0.6331097026039849,1.6564050140691868,0.0022467339780435852,1.1280256242025517,3.9463960975253376,2.597449392604645,1.8131456647581778,6.46594769696596,2.127874660707559,2.9380648371159914,3.947867588482023,4.7033112237145716,1.7656272520722347,3.5149265161113368,3.9094809317987367,3.4219732299442978,2.9712892532871336,5.3583629011487135,6.2406608976838225
Glut,2.5815836242001593,4.82431742086473,3.414327291458076,1.1891801088134253,2.16285890436436,2.7813834218585596,1.628042849982564,3.58395408517176,2.119291017308512,0.010004362554572275,0.19564887599143524,2.0363809918234024,5.0100041983473576,0.859074249299065,1.2403117283088518,5.118673557498922,1.9129065424132998,0.05592921064945411,4.858376291078598,5.13779659185854,3.551247410470466,1.8197056263373599,1.3113698379079164,3.319260543332356e-05,0.5593896808661976,3.8842907572451146,1.4023191055760724,1.4189684678437398,6.128195731138196,1.890933944020055,2.3720025319959093,4.633630201265061,3.747669899308419,1.7761811714256508,3.5345276710250975,5.284888567669776,2.2828594764654686,2.6669125010704215,4.596451042578987,6.268942606613728
Glut-GABA,3.2245007883469325,5.820225011919136,3.703531868002388,1.1824141358995028,2.786263842566258,3.0931933126164193,1.620041982816475,3.503414989485864,1.924146936737877,0.005798647010905921,0.12278264690021053,2.138369134992497,4.726445280281531,1.179267286896268,1.2042285525794818,5.73024433984522,2.0139605031685592,0.1142697960241099,6.065988787131098,5.315601377283483,3.269677622297845,0.7420814711281847,1.5003945441569086,0.0005624293485304738,0.8101290229536797,4.209183818016345,2.077762417167853,1.7723173740801577,5.843588367215597,1.9324334163742158,2.58697470232541,3.6112137149287116,4.32002782386672,1.749614055435999,3.744503602844707,3.5485587757943216,2.7569670283578236,2.9129310569822597,5.012884515691671,6.237819509785251
Hist,3.707160837194893,5.444534198621685,3.3231632088900507,1.7649360305807564,2.683049104633403,3.3892417940754123,2.2525076642911532,5.092780274844794,2.478158027491766,0.045214864198634686,0.3572709381803591,3.3994234545847,5.162931689608856,1.806950636124343,1.3394132758794206,5.709018303660418,3.449246087324307,0.4186212279823389,6.7281505427556985,5.404299543144997,7.4438499600699775,0.14377419287792306,1.6069404489538643,0.0,1.3211769633525319,2.6097872578695918,3.179218534673198,2.901777424615867,5.517498966906401,1.6549100616897983,2.798292499356502,3.896199975567364,3.914537549911813,1.5347545580024577,4.911631289939309,6.085786362265826,3.6816456875997536,3.964307575190112,5.258046079217718,7.305867649642716
Nora,4.180708613258581,5.663769784445961,3.573399526242631,1.2426430805803488,2.7337747408559148,3.382677924518768,1.3404009254595723,4.089303226897511,1.3666305941895556,0.036321086624559885,0.26849974306246727,1.8930601433824046,5.4155261813642115,1.3774804467210373,1.0043046687738584,5.714540386352295,2.604570325190267,0.07735610998476657,6.012507686218895,4.875012638469855,5.8474643024773645,0.4117542714737475,1.0589219983012532,0.0,1.1001205821387685,3.719116103534881,2.6106267215344854,2.759133620003161,5.408613860035857,1.8312038625010287,2.7754624792562126,3.5579998969270017,4.336903411359452,1.4374650625375132,3.63570219716325,2.9048622187714987,3.037464833868959,2.6936164260291444,4.636936374365712,7.110328537968401
Sero,3.590095960501508,6.041003425077486,4.343371426353169,1.6378062519595442,4.0473114168506,3.898486186080112,2.6335307102450063,5.194734671718008,3.1515977991284605,0.024086480890511654,0.6353410406937154,2.411920592117829,4.42536207004986,3.261290903721154,1.4274890916212795,6.1789580329573015,3.6594437611516923,0.23310067411829127,6.988158723949331,6.144686774220736,4.066771294650291,0.7910996908391715,2.7988631715573282,0.0,1.4822251142653744,3.9404131828967692,3.2151398153999695,2.9053384314758426,6.671016739533011,2.7565354739345604,3.557236980466797,4.483729100535726,5.054885124332488,1.2445407676566937,4.607473381528082,5.0083936653306,4.273366273058118,4.117544300625972,5.907966248107817,7.072990525896814
